date,forecast_qty_total,forecast_qty_total_lower,forecast_qty_total_upper,sku_id
2025-03-04,1.6300968247127645,-3.6757509029525455,7.274010099533524,37342256451
2025-03-05,1.6137751689963384,-4.038736662013471,7.124328892916249,37342256451
2025-03-06,1.5974535132799088,-3.866463747117355,6.8701785945286735,37342256451
2025-03-07,1.5811318575634792,-3.5539980976071597,7.023729138587175,37342256451
2025-03-08,1.5648102018470509,-3.8184723925581356,7.16538861308603,37342256451
2025-03-09,1.548488546130623,-3.826283787440667,7.199792268283468,37342256451
2025-03-10,1.5321668904141934,-4.391348137168103,7.0987998307290185,37342256451
2025-03-11,1.5158452346977656,-4.240213228929756,7.233576022538513,37342256451
2025-03-12,1.499523578981336,-3.946410749350625,6.840484982422064,37342256451
2025-03-13,1.4832019232649076,-4.070828893507328,7.119467035061997,37342256451
2025-03-14,1.4668802675484798,-3.651196084008795,6.888741460562743,37342256451
2025-03-15,1.4505586118320501,-4.1880151715266445,7.204123222857158,37342256451
2025-03-16,1.4342369561156205,-4.304209701888349,7.3194105115058266,37342256451
2025-03-17,1.417915300399194,-4.1082367289003265,7.336480324975532,37342256451
2025-03-18,1.4015936446827644,-4.315607822328768,6.856629400935217,37342256451
2025-03-19,1.3852719889663347,-4.146565534307359,6.8334915340695765,37342256451
2025-03-20,1.3689503332499051,-4.171686796505565,6.633518119875299,37342256451
2025-03-21,1.352628677533479,-3.751908130222447,6.7645472115203775,37342256451
2025-03-22,1.3363070218170494,-4.044138632604035,6.749234262366845,37342256451
2025-03-23,1.3199853661006193,-4.173483589917317,7.0666018487363385,37342256451
2025-03-24,1.3036637103841915,-4.116602069970346,6.999994484600474,37342256451
2025-03-25,1.2873420546677636,-4.440867992611015,6.892588854874079,37342256451
2025-03-26,1.271020398951334,-4.082195089777964,6.667608305563963,37342256451
2025-03-27,1.2546987432349062,-4.160283473874171,6.865622768045395,37342256451
2025-03-28,1.238377087518476,-4.136086526679606,7.0862208013033845,37342256451
2025-03-29,1.2220554318020482,-4.27902305001174,6.580855331706593,37342256451
2025-03-30,1.2057337760856204,-4.0890098500976375,6.514538183846517,37342256451
2025-03-31,1.1894121203691908,-4.029632429060421,6.7050687700535825,37342256451
2025-03-04,7.733123384023072,-6.4962986741343185,21.61550247584411,37343374872
2025-03-05,7.717435419695567,-6.005064164737695,20.996494993147927,37343374872
2025-03-06,7.701747455368059,-6.057773144218091,21.29355743136403,37343374872
2025-03-07,7.686059491040552,-4.815732015495274,21.207651636975413,37343374872
2025-03-08,7.670371526713044,-5.541782636573062,20.541765979076178,37343374872
2025-03-09,7.654683562385539,-6.109359306858646,20.730230382897318,37343374872
2025-03-10,7.638995598058031,-5.388941196403486,21.19194634353584,37343374872
2025-03-11,7.623307633730523,-5.586723694715306,21.192522150455225,37343374872
2025-03-12,7.607619669403016,-5.145834388482002,21.725489637301898,37343374872
2025-03-13,7.5919317050755115,-5.112286061222737,20.885619840851216,37343374872
2025-03-14,7.576243740748003,-7.106003591932065,20.391131080375885,37343374872
2025-03-15,7.560555776420495,-5.562108590929806,21.354703646621957,37343374872
2025-03-16,7.544867812092987,-6.183858227012497,19.992121736818508,37343374872
2025-03-17,7.529179847765482,-5.463236453933601,21.88434424986237,37343374872
2025-03-18,7.513491883437975,-5.756697977042925,21.526986196148055,37343374872
2025-03-19,7.497803919110467,-7.296892575921812,20.792688473159647,37343374872
2025-03-20,7.482115954782959,-7.562738271571811,20.370049192128608,37343374872
2025-03-21,7.466427990455454,-6.846038345195997,21.23301763060395,37343374872
2025-03-22,7.450740026127946,-6.010957631086733,20.696637740321655,37343374872
2025-03-23,7.435052061800439,-6.369332759495203,20.978946155322387,37343374872
2025-03-24,7.419364097472931,-6.730459727427452,21.75585653073418,37343374872
2025-03-25,7.403676133145426,-6.318781519062353,21.57378366889494,37343374872
2025-03-26,7.387988168817918,-5.925104928252065,21.636496069616957,37343374872
2025-03-27,7.37230020449041,-6.475680712436436,20.808117374455232,37343374872
2025-03-28,7.356612240162903,-6.178055381106247,21.534099167179626,37343374872
2025-03-29,7.3409242758353965,-6.099662128957562,21.4324439247906,37343374872
2025-03-30,7.32523631150789,-6.486983818020614,20.77488951124238,37343374872
2025-03-31,7.309548347180382,-6.082666942883962,20.638257407404506,37343374872
2025-03-04,12.49305184194754,5.702396732384701,19.449620485365717,37344189072
2025-03-05,12.482609505119296,5.020808492987995,19.81289176351944,37344189072
2025-03-06,12.47216716829105,4.956146948869907,19.940145363200283,37344189072
2025-03-07,12.461724831462803,5.0905010268453506,19.4852503168135,37344189072
2025-03-08,12.451282494634556,5.126966306496212,19.582232830686273,37344189072
2025-03-09,12.44084015780631,5.368609661027568,19.66435746671659,37344189072
2025-03-10,12.430397820978063,5.1641630509631575,19.69898509441099,37344189072
2025-03-11,12.419955484149817,5.547807701378982,19.87116937254495,37344189072
2025-03-12,12.40951314732157,5.178156684633252,19.139788497917912,37344189072
2025-03-13,12.399070810493324,5.000163930016902,19.748409914139955,37344189072
2025-03-14,12.388628473665078,5.00242393317135,19.442284437095754,37344189072
2025-03-15,12.378186136836831,5.159928855779907,19.47150289430995,37344189072
2025-03-16,12.367743800008585,4.962698461215646,19.9261421018149,37344189072
2025-03-17,12.357301463180338,4.293356007304996,19.59613706974371,37344189072
2025-03-18,12.34685912635209,5.642327535220492,19.760735245507547,37344189072
2025-03-19,12.336416789523843,4.9027144988947855,19.58536414914746,37344189072
2025-03-20,12.325974452695597,5.370994579759423,20.136476203840317,37344189072
2025-03-21,12.315532115867354,5.5507718757985876,19.6327994058269,37344189072
2025-03-22,12.305089779039108,5.050622318009496,19.67674371329014,37344189072
